,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
27,29.0,46.0,1306.69997215271,222.54263,3228,30.64456033199195,46.342805,132.58937266452187,196.1447,Ukraine,UKR,Europe,Non-EU Europe,,,1222.432721161909,1.8806047534276025,2.1699966882521284,2.7877952806353945,0.7438908254706402,0.7438908254706402,H2 Gas,988.4162391329614,,2.217,0.1491007984697862,0.1796105829581963,0.4004497150219429,0.0079073299130636,0.0079073299130636,2.224907329913064,True,385.2,True,261.0,E
28,29.0,47.0,1270.564980506897,170.62308,3228,30.64456033199195,46.342805,145.50780274340414,178.70329999999998,Moldova,MDA,Europe,Non-EU Europe,,,1081.25396111521,1.8768020077159973,2.165819249606618,2.769446991252887,0.6925866934835134,0.6925866934835134,H2 Gas,958.0509030141608,,2.217,0.1405142283880122,0.1701853763932287,0.3911080693721206,0.0076644072241132,0.0076644072241132,2.2246644072241133,True,20.6,True,279.0,E
29,29.0,48.0,1230.4150187969208,211.23334,2181,30.744834388315542,46.49840286467224,212.8638684010147,292.27070000000003,Ukraine,UKR,Europe,Non-EU Europe,,,1076.9931851544625,1.8776472113019256,2.1656848470175754,2.7688582166564535,0.7178248093622586,0.7178248093622586,H2 Gas,939.8345660338282,,2.217,0.1402551082715685,0.1699009235935029,0.390826284247047,0.0075186765282706,0.0075186765282706,2.2245186765282705,True,385.2,True,335.0,E
30,29.0,49.0,1205.230016708374,231.42714,2181,30.744834388315542,46.49840286467224,307.35632813741904,381.0777,Ukraine,UKR,Europe,Non-EU Europe,,,1076.9931851544625,1.8776472113019256,2.1656848470175754,2.7688582166564535,0.7556217932568203,0.7556217932568203,H2 Gas,934.4849414832092,,2.217,0.1402551082715685,0.1699009235935029,0.390826284247047,0.0074758795318656,0.0074758795318656,2.2244758795318655,True,385.2,True,373.0,E
31,29.0,50.0,1162.5249791145325,204.47246,2181,30.744834388315542,46.49840286467224,410.3255850890559,478.3976,Ukraine,UKR,Europe,Non-EU Europe,,,1076.9931851544625,1.884875120864265,2.1698150810531978,2.772988450692076,0.7968094960374752,0.7968094960374752,H2 Gas,942.2280667723356,,2.217,0.1402551082715685,0.1699009235935029,0.390826284247047,0.0075378245341786,0.0075378245341786,2.224537824534179,True,385.2,True,400.0,E
32,29.0,51.0,1131.4999651908877,191.14587,2181,30.744834388315542,46.49840286467224,516.7411046284758,604.3029,Ukraine,UKR,Europe,Non-EU Europe,,,1352.8872875420996,1.9142243082206336,2.220144722554053,2.8497287565231075,0.949733344808298,0.949733344808298,H2 Gas,962.7547337079131,,2.217,0.1570364113614247,0.1883198338049232,0.4090900982649637,0.0077020378696633,0.0077020378696633,2.2247020378696636,True,385.2,True,440.0,E
33,30.0,37.0,1745.794997215271,88.28895,2849,30.606104893796005,36.81356,57.843093963373995,105.8995,Turkey,TUR,Asia,Non-EU Europe,,,1322.370105326924,1.8232602825962845,2.1726716451933172,2.799597338624789,0.753967267656187,0.753967267656187,H2 Gas,1668.7846978207476,,2.217,0.1551799253517099,0.1862824823926878,0.4070681381127261,0.0133502775825659,0.0133502775825659,2.230350277582566,True,452.8,True,40.0,E
34,30.0,38.0,1661.1150431632996,148.90588,2849,30.606104893796005,36.81356,142.19076708209275,211.4388,Turkey,TUR,Asia,Non-EU Europe,,,1322.370105326924,1.8824406825962845,2.1726716451933172,2.799597338624789,0.7877063369036743,0.7877063369036743,H2 Gas,1582.0956007032155,,2.217,0.1551799253517099,0.1862824823926878,0.4070681381127261,0.0126567648056257,0.0126567648056257,2.229656764805626,True,452.8,True,49.0,E
35,30.0,39.0,1527.5249791145325,321.29642,2754,29.091187262455065,40.418835,175.753129620057,274.0008,Turkey,TUR,Asia,Non-EU Europe,,,1290.5583910691828,1.8818716774778328,2.1718427482203357,2.795935478152278,0.7884065962157636,0.7884065962157636,H2 Gas,1498.5314472607326,,2.217,0.1532447600496012,0.1841587069893215,0.4049608743654727,0.0119882515780858,0.0119882515780858,2.228988251578086,True,452.8,True,77.0,E
36,30.0,40.0,1394.2999756336212,165.49591,5239,29.84002569075817,40.725345,81.68160954456924,171.7855,Turkey,TUR,Asia,Non-EU Europe,,,1290.5583910691828,1.8754000774778328,2.1718427482203357,2.795935478152278,0.7507779881855685,0.7507779881855685,H2 Gas,1418.6490547433662,,2.217,0.1532447600496012,0.1841587069893215,0.4049608743654727,0.0113491924379469,0.0113491924379469,2.228349192437947,True,452.8,True,112.0,E
37,30.0,41.0,1304.8750174045565,67.311646,3919,29.84666642526385,40.75049,30.57473690392371,48.627300000000005,Turkey,TUR,Asia,Non-EU Europe,,,1619.1321783474625,1.782177414081369,2.164041488403313,2.830226446603648,0.8617647540406221,0.8617647540406221,H2 Gas,1343.1103060803396,,2.217,0.173236072495107,0.2060945549589957,0.4267491906386182,0.0107448824486427,0.0107448824486427,2.227744882448643,True,452.8,True,324.0,E
38,30.0,46.0,1310.3499686717987,200.02654,3228,30.64456033199195,46.342805,62.6856126814323,128.3356,Ukraine,UKR,Europe,Non-EU Europe,,,1210.8014546990917,1.8391499360384975,2.1696712519829706,2.7863623804637543,0.7112768148922772,0.7112768148922772,H2 Gas,1061.8265051845667,,2.217,0.1483933233992653,0.1788340703369778,0.3996797320134044,0.0084946120414765,0.0084946120414765,2.2254946120414765,True,385.2,True,227.0,E
39,30.0,47.0,1268.3749651908877,228.63264,2181,30.744834388315542,46.49840286467224,79.6761252105987,102.3812,Ukraine,UKR,Europe,Non-EU Europe,,,1210.8014546990917,1.8183864160384977,2.1696712519829706,2.7863623804637543,0.7180730199039438,0.7180730199039438,H2 Gas,1032.2787377257036,,2.217,0.1483933233992653,0.1788340703369778,0.3996797320134044,0.0082582299018056,0.0082582299018056,2.2252582299018058,True,385.2,True,293.0,E
