,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,Ocean / International,USA,North America,North America,,,15200.02777997615,1.7325495510554632,2.2275180471550056,3.607785865870977,,1.7325495510554632,NH3,8819.75284831128,,0.5509999999999999,0.979245252737096,1.0587659716810964,1.121506503438601,,0.979245252737096,1.530245252737096,True,7433.3,True,2.0,C
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,United States of America,USA,North America,North America,,,15200.02777997615,1.7842067510554631,2.317918147155005,3.801500365870977,,1.7842067510554631,NH3,8723.56565767605,,2.217,1.006493759573623,1.1127659716810965,1.374220868921188,,1.006493759573623,3.223493759573623,True,7433.3,True,265.0,C
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,United States of America,USA,North America,North America,,,15899.114938744457,1.807495906844088,2.3582033161933813,3.895895994853837,,1.807495906844088,NH3,8244.052048180973,,2.217,1.0497573895783034,1.1594375876956309,1.4256070447180322,,1.0497573895783034,3.2667573895783035,True,7433.3,True,1522.0,C
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,United States of America,USA,North America,North America,,,16367.181697954204,1.731951715695981,2.2256924389811013,3.617293821894787,,1.731951715695981,NH3,8148.495205149355,,2.217,1.0787446032396284,1.1906860976718303,1.4601631413690674,,1.0787446032396284,3.2957446032396285,True,7433.3,True,1417.0,C
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,United States of America,USA,North America,North America,,,16303.73101435354,1.6895299530243473,2.151495879596579,3.3469308865383347,,1.6895299530243473,NH3,8053.075408235865,,2.217,1.0748141608112614,1.1864500794533193,1.4554716242654449,,1.0748141608112614,3.2918141608112617,True,7433.3,True,1948.0,C
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,16695.196200589555,1.781552804794652,2.312281128282499,3.806566527111363,,1.781552804794652,NH3,7672.970971791936,,2.217,1.0990682297977623,1.212584607352895,1.4844521429850297,,1.0990682297977623,3.3160682297977626,True,8522.5,True,2542.0,C
16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,16695.196200589555,2.241550244794652,3.1172766482824987,5.531556927111363,,2.241550244794652,NH3,7389.856645699902,,2.217,1.0990682297977623,1.212584607352895,1.4844521429850297,,1.0990682297977623,3.3160682297977626,True,8522.5,True,2999.0,C
17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449,116.2179,United States of America,USA,North America,North America,,,15190.069897471218,1.757079719071799,2.2704526394720097,3.699672866898303,,1.757079719071799,NH3,8871.45038213994,,2.217,1.0058777717484184,1.1121011755068873,1.3734908609526133,,1.0058777717484184,3.2228777717484185,True,7433.3,True,290.0,C
18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809,10.3994,United States of America,USA,North America,North America,,,15228.465851648943,1.6724889950104451,2.122392673849991,3.2148127315407824,,1.6724889950104451,NH3,8775.654003825006,,2.217,1.008252960206513,1.1146645200161067,1.376305951117943,,1.008252960206513,3.2252529602065128,True,7433.3,True,95.0,C
19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.068078726904595,88.3448,United States of America,USA,North America,North America,,,15316.10855462904,1.734991028883832,2.2317115789058577,3.61811911027102,,1.734991028883832,NH3,8679.939416716681,,2.217,1.0136749852439324,1.1205156167336745,1.3827347165937824,,1.0136749852439324,3.2306749852439323,True,7433.3,True,232.0,C
20,-122.0,40.0,1724.989938735962,262.91464,6367,-121.55685725036533,38.561485000000005,164.2177668177324,179.1987,United States of America,USA,North America,North America,,,15316.10855462904,1.807674148883832,2.3589070389058575,3.89068081027102,,1.807674148883832,NH3,8584.314956152059,,2.217,1.0136749852439324,1.1205156167336745,1.3827347165937824,,1.0136749852439324,3.2306749852439323,True,7433.3,True,387.0,C
21,-122.0,42.0,1651.990008354187,80.47385,3772,-124.19684561280556,43.394895000000005,237.5009999508732,407.2945,United States of America,USA,North America,North America,,,15899.114938744457,1.991101346844088,2.6795128361933815,4.584416394853837,,1.991101346844088,NH3,8393.37089176952,,2.217,1.0497573895783034,1.1594375876956309,1.4256070447180322,,1.0497573895783034,3.2667573895783035,True,7433.3,True,982.0,C
22,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,16695.196200589555,2.590258884794652,3.727516768282499,6.839214327111364,,2.590258884794652,NH3,7074.477551848969,,2.217,1.0990682297977623,1.212584607352895,1.4844521429850297,,1.0990682297977623,3.3160682297977626,True,8522.5,True,3536.0,C
23,-121.0,36.0,1850.1849150657647,43.310562,4731,-121.33982489431968,37.95234,218.7673144923872,318.1805,United States of America,USA,North America,North America,,,15303.322173413384,1.9188383774522957,2.553453129347794,4.307417048032863,,1.9188383774522957,NH3,8921.654962835742,,2.217,1.0128839185678196,1.119661987730727,1.381796547305909,,1.0128839185678196,3.2298839185678196,True,7433.3,True,398.0,C
