corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.3194535947723343,3.3587156109858016,2.9582911439987623,4.0135868978222105,1.4154814598630923,1.6758332451771605,0.5999694628032692,1.5687298203981237,DZA,H2 Gas,523,#E63946,Ambitious,2050
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,1.9146423692052434,3.843845643128433,3.6155845198214274,4.304007524366465,1.417735115329733,2.001725763871562,0.21629999999999996,1.7724870839411706,MAR,NH3,1541,#F4A261,Ambitious,2050
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,128,3.0504233562406924,4.329587255523387,3.850274553780155,5.044234057703198,1.1576021150028128,2.0119527204649392,1.572397422261285,2.189011238157981,JPN,NH3,5524,#2196F3,Ambitious,2050
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.453389799024315,3.8165930715153706,3.657963455997698,3.939170626225907,1.3299944507723565,1.95260438711709,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2050
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.2314971643905457,3.707818340404609,3.479144580885458,5.01395840659249,1.1847744752217222,2.1655017406116186,0.6493595721292902,2.0021327004197955,TUR,NH3,711,#9C27B0,Ambitious,2050
EU,EU Domestic,EU Domestic Production,,,27,23,1.4313799998738184,2.427229787974457,2.1242303204234347,2.6893083153259054,1.4313799998738184,2.427229787974457,0.0,0.0,IRL,Domestic,328,#009688,Ambitious,2050
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.351878121646166,5.005227320264213,4.625312810270973,5.379525997400998,2.2423311339826406,3.415650284104128,0.5999694628032692,1.5281484265051246,MAR,H2 Gas,472,#E63946,Intermediate,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.5508992098722825,5.88007403870109,5.386639632136868,6.654925324599784,2.249566156328331,4.028992035551158,0.21629999999999996,1.7724870839411706,MAR,NH3,1417,#F4A261,Intermediate,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,3.7768766935043,6.257914434803526,5.610685906591807,7.5118376789169385,1.8337952044676942,4.014768501450412,1.572397422261285,2.189439250480089,JPN,NH3,5304,#2196F3,Intermediate,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3074715978974267,5.370726652091333,4.742312012140268,5.881660098352369,2.087993123574217,3.529764810646913,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Intermediate,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.074872662372522,5.475489494095871,5.172321423245199,6.855797253641295,1.8687278625781119,4.04811851271867,0.6493595721292902,2.008987510833525,TUR,NH3,704,#9C27B0,Intermediate,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.1917865701934156,4.127812816140194,3.738600332885564,4.680182295819465,2.1917865701934156,4.127812816140194,0.0,0.0,IRL,Domestic,320,#009688,Intermediate,2025
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,18,3.2319338813195237,4.539435609108052,4.164598462829083,4.857808153929765,2.133048685482506,3.1548849947746964,0.5999694628032692,1.3709226216347132,MAR,H2 Gas,298,#E63946,Intermediate,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,3.4077654167030595,5.54225798593146,4.945323992229743,5.885166985343133,2.1450424522777576,3.712908317120057,0.21629999999999996,1.770908500684605,MAR,NH3,1025,#F4A261,Intermediate,2027
