ISO_A3,Year,Capacity_kt,Source
TKM,2022,4.9,Theoretical growth
NAM,2022,42.7,IEA-anchored growth
CHL,2022,79.3,IEA-anchored growth
IRN,2022,4.2,Theoretical growth
SDN,2022,4.0,Theoretical growth
GRL,2022,3.9,Theoretical growth
UZB,2022,3.9,IEA-anchored growth
TCD,2022,3.7,Theoretical growth
BWA,2022,3.2,Theoretical growth
NER,2022,3.0,Theoretical growth
COD,2022,2.9,Theoretical growth
NOR,2022,31.2,IEA-anchored growth
MLI,2022,2.5,Theoretical growth
OMN,2022,128.1,IEA-anchored growth
IDN,2022,11.2,IEA-anchored growth
DEU,2022,40.9,IEA-anchored growth
FRA,2022,8.8,IEA-anchored growth
DNK,2022,29.2,IEA-anchored growth
SWE,2022,37.1,IEA-anchored growth
IRL,2022,2.0,IEA-anchored growth
BOL,2022,1.9,Theoretical growth
TUR,2022,1.8,Theoretical growth
AFG,2022,1.6,Theoretical growth
TUN,2022,20.8,IEA-anchored growth
AGO,2022,1.6,Theoretical growth
UKR,2022,1.5,Theoretical growth
ETH,2022,1.5,Theoretical growth
COL,2022,10.1,IEA-anchored growth
NZL,2022,3.3,IEA-anchored growth
ESP,2022,107.8,IEA-anchored growth
NLD,2022,48.4,IEA-anchored growth
SOM,2022,1.2,Theoretical growth
PRT,2022,21.8,IEA-anchored growth
FIN,2022,20.3,IEA-anchored growth
TZA,2022,1.2,Theoretical growth
VEN,2022,1.1,Theoretical growth
NGA,2022,1.1,Theoretical growth
IRQ,2022,1.1,Theoretical growth
JPN,2022,1.1,IEA-anchored growth
MOZ,2022,1.0,Theoretical growth
ZMB,2022,0.9,Theoretical growth
POL,2022,1.6,IEA-anchored growth
YEM,2022,0.9,Theoretical growth
MDG,2022,0.9,Theoretical growth
MMR,2022,0.9,Theoretical growth
SSD,2022,0.8,Theoretical growth
CAF,2022,0.8,Theoretical growth
KEN,2022,0.7,Theoretical growth
PRY,2022,3.9,IEA-anchored growth
ITA,2022,13.2,IEA-anchored growth
THA,2022,0.6,Theoretical growth
PNG,2022,0.6,Theoretical growth
CMR,2022,0.6,Theoretical growth
URY,2022,12.3,IEA-anchored growth
BLR,2022,0.6,Theoretical growth
SYR,2022,0.5,Theoretical growth
ARE,2022,0.5,IEA-anchored growth
PHL,2022,0.5,Theoretical growth
ZWE,2022,0.5,Theoretical growth
COG,2022,0.4,Theoretical growth
MYS,2022,10.8,IEA-anchored growth
ROU,2022,2.4,IEA-anchored growth
VNM,2022,0.4,Theoretical growth
CIV,2022,0.4,Theoretical growth
BFA,2022,0.4,Theoretical growth
GRC,2022,2.1,IEA-anchored growth
GUY,2022,0.4,Theoretical growth
GAB,2022,0.3,Theoretical growth
ECU,2022,0.3,Theoretical growth
UGA,2022,0.3,Theoretical growth
GHA,2022,0.3,Theoretical growth
GIN,2022,0.3,Theoretical growth
SEN,2022,0.3,Theoretical growth
KGZ,2022,0.3,Theoretical growth
TJK,2022,0.3,Theoretical growth
LAO,2022,0.3,Theoretical growth
PRK,2022,0.3,Theoretical growth
ERI,2022,0.2,Theoretical growth
AUT,2022,6.6,IEA-anchored growth
KHM,2022,0.2,Theoretical growth
JOR,2022,7.2,IEA-anchored growth
CZE,2022,0.3,IEA-anchored growth
HUN,2022,0.2,IEA-anchored growth
ISL,2022,1.1,IEA-anchored growth
NPL,2022,0.2,Theoretical growth
LVA,2022,0.2,Theoretical growth
KWT,2022,0.2,Theoretical growth
SUR,2022,0.2,Theoretical growth
BGR,2022,0.2,Theoretical growth
KOR,2022,1.4,IEA-anchored growth
CUB,2022,0.2,Theoretical growth
