,Country code,Risk Free,Country Risk,Equity Risk,Lenders Margin,Technology Risk,Equity Cost,Debt Cost,WACC,Debt Share,Tax Rate,Year
88,MKD,4.176637405688782,3.654343496810399,1.2185332591831677,1.2934503772448727,3.4479612198576026,18.738246938335138,13.170469997520454,13.790925758784825,71.85835429138181,10.0,2024
89,MYS,3.6653099245510252,1.0608063962499326,0.9835110863943889,1.1747489950763346,3.182897248556551,15.779915646111712,11.03732333250682,10.067273650828232,77.28611809712727,24.0,2024
90,MDV,4.097569866458858,9.370358156599302,1.7484852174323733,1.0135277437332484,3.858027541945615,26.195052793348744,18.766565418629636,20.087968526169394,59.61927904313226,15.0,2024
91,MLI,3.6951397329177147,8.572959353899865,1.7484852174323733,0.8346699066038515,3.558440664753875,26.195052793348744,18.766565418629636,18.40969487560768,59.61927904313226,30.0,2024
92,MLT,3.2701719811554675,0.6728866462225644,0.9489490021607455,1.0150961425383442,1.6010414423860295,13.559352220784739,8.938110587651872,7.508145214463152,78.08431865679572,35.0,2024
93,MUS,3.9935842885480497,2.120712957593013,1.081436991723047,1.2754173473604664,3.472510640135548,17.11317868453814,12.026759442929167,11.943662225360125,75.02454984473333,15.0,2024
94,MEX,3.47818882079983,1.6168571851918458,1.052635254861677,1.0596560376890651,2.804998207644079,16.37104249676566,11.385748822216712,10.012335506186496,75.68971697779037,30.0,2024
95,MDA,4.147452883709398,6.709349089673433,1.5030944193735016,1.1490424530952972,3.781818197536986,22.854052473527226,16.287154930159517,17.290757043388616,65.28650301677825,12.0,2024
96,MNG,3.7400841982218127,5.142099498934176,1.4051685140448444,1.0132210690375827,3.433323477737239,21.520789435100802,15.297718819737169,14.733896757975657,67.54807126917218,25.0,2024
97,MNE,4.028784933229429,4.459158299984301,1.3072426087161868,1.186763871866624,3.603013770972807,20.18752639667437,14.308282709314819,14.584963484769347,69.80963952156613,15.0,2024
98,MSR,3.4871685770961,1.8757473616039628,1.081436991723047,1.0503436978262664,3.0955122771657635,17.11317868453814,12.026759442929167,10.59020890541514,75.02454984473333,30.0,2024
99,MAR,3.3961582760086433,2.0923618473116634,1.1113907980588715,0.9960591987531436,3.041595640501576,17.521000319821518,12.329410488470122,10.637565760633898,74.33277602635401,33.0,2024
100,MOZ,3.6414823817788955,8.46663951353994,1.7484852174323733,0.8108221949865986,3.5184957477949768,26.195052793348744,18.766565418629636,18.185925055532785,59.61927904313226,32.0,2024
