,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,country_cap_kt,within_cap,cap_rank,Year
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,United States of America,USA,North America,North America,,,16367.181697954204,1.731951715695981,2.193888472540154,3.2543990218947867,,1.731951715695981,NH3,8148.495205149355,,7433.328206704846,True,2876.0,2040
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,United States of America,USA,North America,North America,,,16303.73101435354,1.6895299530243473,2.151495879596579,3.253392855278237,,1.6895299530243473,NH3,8053.075408235865,,7433.328206704846,True,3418.0,2040
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,16695.196200589555,1.781552804794652,2.1945639218415516,3.2595719271113635,,1.781552804794652,NH3,7672.970971791936,,8522.47753481828,True,3835.0,2040
16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,16695.196200589555,1.827513739271882,2.2056594109485044,3.270667416218316,,1.827513739271882,NH3,7389.856645699902,,8522.47753481828,True,3558.0,2040
17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449,116.2179,United States of America,USA,North America,North America,,,15190.069897471218,1.757079719071799,2.191347853031062,3.235419166898303,,1.757079719071799,NH3,8871.45038213994,,7433.328206704846,True,1065.0,2040
18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809,10.3994,United States of America,USA,North America,North America,,,15228.465851648943,1.6724889950104451,2.122392673849991,3.2148127315407824,,1.6724889950104451,NH3,8775.654003825006,,7433.328206704846,True,507.0,2040
19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.068078726904595,88.3448,United States of America,USA,North America,North America,,,15316.10855462904,1.734991028883832,2.1916291324649104,3.23748471027102,,1.734991028883832,NH3,8679.939416716681,,7433.328206704846,True,945.0,2040
20,-122.0,40.0,1724.989938735962,262.91464,6367,-121.55685725036533,38.561485000000005,164.2177668177324,179.1987,United States of America,USA,North America,North America,,,15316.10855462904,1.807674148883832,2.1916291324649104,3.23748471027102,,1.807674148883832,NH3,8584.314956152059,,7433.328206704846,True,1234.0,2040
21,-122.0,42.0,1651.990008354187,80.47385,3772,-124.19684561280556,43.394895000000005,237.5009999508732,407.2945,United States of America,USA,North America,North America,,,15899.114938744457,1.809165746844088,2.192900809752434,3.246932894853837,,1.809165746844088,NH3,8393.37089176952,,7433.328206704846,True,1403.0,2040
22,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,16695.196200589555,1.96283195830197,2.3409776299785925,3.4059856352484044,,1.96283195830197,NH3,7074.477551848969,,8522.47753481828,True,3773.0,2040
23,-121.0,36.0,1850.1849150657647,43.310562,4731,-121.33982489431968,37.95234,218.7673144923872,318.1805,United States of America,USA,North America,North America,,,15303.322173413384,1.8081939774522957,2.1916007029068467,3.2372755480328625,,1.8081939774522957,NH3,8921.654962835742,,7433.328206704846,True,906.0,2040
24,-121.0,37.0,1846.1700320243835,168.25212,4731,-121.33982489431968,37.95234,109.88775187619235,125.1116,United States of America,USA,North America,North America,,,15303.322173413384,1.7643832574522955,2.1916007029068467,3.2372755480328625,,1.7643832574522955,NH3,8826.247347858489,,7433.328206704846,True,736.0,2040
25,-121.0,38.0,1774.265022277832,112.58099,4731,-121.33982489431968,37.95234,30.32231572321424,40.3395,United States of America,USA,North America,North America,,,15303.322173413384,1.6965655774522956,2.164475729347794,3.2372755480328625,,1.6965655774522956,NH3,8730.91971209014,,7433.328206704846,True,681.0,2040
26,-121.0,39.0,1741.414966583252,83.97129,6367,-121.55685725036533,38.561485000000005,68.63688040584367,77.12,United States of America,USA,North America,North America,,,15316.10855462904,1.726011188883832,2.1916291324649104,3.23748471027102,,1.726011188883832,NH3,8635.680446504834,,7433.328206704846,True,918.0,2040
27,-121.0,41.0,1705.279974937439,123.22334,6367,-121.55685725036533,38.561485000000005,274.91789783240614,440.0488,United States of America,USA,North America,North America,,,15316.10855462904,1.808215188883832,2.1916291324649104,3.23748471027102,,1.808215188883832,NH3,8445.501692924003,,7433.328206704846,True,1277.0,2040
28,-121.0,43.0,1666.9549679756165,191.82724,3674,-122.768689375,45.58885,320.4123225349457,422.9964000000001,United States of America,USA,North America,North America,,,16367.181697954204,1.8099064356959809,2.193888472540154,3.2543990218947867,,1.8099064356959809,NH3,8255.782877691256,,7433.328206704846,True,1369.0,2040
29,-121.0,44.0,1622.790036201477,200.39606,6634,-122.7035916567065,45.64459,227.0461322502766,319.0645,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,8161.119554994473,,7433.328206704846,True,1505.0,2040
30,-121.0,45.0,1546.140022277832,220.43417,6634,-122.7035916567065,45.64459,151.56171866497587,233.7128,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,8066.6001461246415,,7433.328206704846,True,1827.0,2040
31,-121.0,46.0,1496.134991645813,132.13129,6634,-122.7035916567065,45.64459,138.15239227334118,192.684,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,7972.234955540601,,7433.328206704846,True,2070.0,2040
32,-121.0,47.0,1453.4300410747528,299.08087,3275,-122.42362220998923,47.27585,112.26399011148575,165.6768,United States of America,USA,North America,North America,,,16697.113953234773,1.7990586273333842,2.194567831741754,3.2596020325714568,,1.7990586273333842,NH3,7878.034643724047,,7433.328206704846,True,2316.0,2040
33,-121.0,50.0,1335.5349707603457,87.76631,2586,-122.71542696864113,48.8319,179.90961052059174,241.1656,Canada,CAN,North America,North America,,,16671.488035552506,1.810377842709236,2.1945155486757937,3.2591996184016456,,1.810377842709236,NH3,7596.535429065065,,8522.47753481828,True,3134.0,2040
34,-121.0,52.0,1255.964994430542,116.29771,2586,-122.71542696864113,48.8319,372.8770218000093,513.7024,Canada,CAN,North America,North America,,,16671.488035552506,1.810377842709236,2.1945155486757937,3.2591996184016456,,1.810377842709236,NH3,7409.90737402937,,8522.47753481828,True,3513.0,2040
35,-121.0,55.0,1218.7349951267242,554.7777,1934,-123.2597273115,49.1586226685,668.0754811125216,1209.0413999999998,Canada,CAN,North America,North America,,,16695.196200589555,1.9236484426099376,2.3017941142865603,3.366802119556372,,1.9236484426099376,NH3,7131.78433265405,,8522.47753481828,True,625.0,2040
36,-121.0,56.0,1325.679988861084,338.51837,1934,-123.2597273115,49.1586226685,776.4415009680994,1179.1603,Canada,CAN,North America,North America,,,16695.196200589555,1.9669948505521688,2.3451405222287915,3.4101485274986034,,1.9669948505521688,NH3,7039.61905898206,,8522.47753481828,True,2916.0,2040
37,-120.0,36.0,1842.154974937439,148.10313,4946,-119.21611784275686,34.16472,215.792275921616,303.4066,United States of America,USA,North America,North America,,,14535.820533385926,1.80689037726693,2.1898492102554212,3.2245567428986788,,1.80689037726693,NH3,8875.358635131908,,7433.328206704846,True,931.0,2040
38,-120.0,37.0,1784.1200041770935,137.57361,4731,-121.33982489431968,37.95234,158.7950643589376,177.3035,United States of America,USA,North America,North America,,,15303.322173413384,1.8061367774522956,2.1916007029068467,3.2372755480328625,,1.8061367774522956,NH3,8780.415387035295,,7433.328206704846,True,1080.0,2040
39,-120.0,38.0,1825.729947090149,41.7581,4731,-121.33982489431968,37.95234,117.83596755121074,159.5648,United States of America,USA,North America,North America,,,15303.322173413384,1.7919458174522958,2.1916007029068467,3.2372755480328625,,1.7919458174522958,NH3,8685.558701309728,,7433.328206704846,True,921.0,2040
40,-120.0,42.0,1685.2050375938416,101.578255,6367,-121.55685725036533,38.561485000000005,404.0963514404131,604.4178,United States of America,USA,North America,North America,,,15316.10855462904,1.8110826348921212,2.1932676730410754,3.2391232508471854,,1.8110826348921212,NH3,8307.17425717711,,7433.328206704846,True,1333.0,2040
41,-120.0,45.0,1507.0850682258606,173.92328,6634,-122.7035916567065,45.64459,223.73580040333533,312.1333,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,8024.743920667825,,7433.328206704846,True,2007.0,2040
42,-120.0,46.0,1565.849986076355,268.9929,6634,-122.7035916567065,45.64459,213.7687837612855,287.1123,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,7930.912911221062,,7433.328206704846,True,1742.0,2040
43,-120.0,47.0,1464.0150570869446,143.19762,2844,-122.35639389094376,47.580055,189.5433333487976,241.2228,United States of America,USA,North America,North America,,,16663.28710384262,1.8103652400061017,2.19449879981699,3.2590707760437656,,1.8103652400061017,NH3,7837.256195491972,,7433.328206704846,True,2302.0,2040
44,-120.0,49.0,1342.4699902534485,230.32945,4933,-122.2207911642127,47.998295,198.3395577483086,318.1033,United States of America,USA,North America,North America,,,16653.24965596402,1.810349807489143,2.1944782889974777,3.258913041188787,,1.810349807489143,NH3,7650.511758805025,,7433.328206704846,True,3094.0,2040
45,-120.0,51.0,1263.2649874687197,420.51483,2586,-122.71542696864113,48.8319,310.097848497011,404.6159,Canada,CAN,North America,North America,,,16671.488035552506,1.810377842709236,2.1945155486757937,3.2591996184016456,,1.810377842709236,NH3,7464.607201771949,,8522.47753481828,True,1136.0,2040
46,-120.0,56.0,1315.460033416748,276.43353,1934,-123.2597273115,49.1586226685,792.4853485561343,1238.555,Canada,CAN,North America,North America,,,16695.196200589555,1.9734123895873827,2.3515580612640052,3.416566066533817,,1.9734123895873827,NH3,7004.225479097824,,8522.47753481828,True,3642.0,2040
47,-119.0,35.0,1875.005030632019,85.02,4946,-119.21611784275686,34.16472,94.75785585246014,160.13479999999998,United States of America,USA,North America,North America,,,14535.820533385926,1.79109821726693,2.1898492102554212,3.2245567428986788,,1.79109821726693,NH3,8923.002548991499,,7433.328206704846,True,772.0,2040
48,-119.0,36.0,1795.80002784729,27.126421,4946,-119.21611784275686,34.16472,204.56133687442608,271.6188,United States of America,USA,North America,North America,,,14535.820533385926,1.80689037726693,2.1898492102554212,3.2245567428986788,,1.80689037726693,NH3,8828.44065516048,,7433.328206704846,True,1054.0,2040
49,-119.0,39.0,1828.284935951233,133.3412,4731,-121.33982489431968,37.95234,234.96223912983223,325.48490000000004,United States of America,USA,North America,North America,,,15303.322173413384,1.8081939774522957,2.1916007029068467,3.2372755480328625,,1.8081939774522957,NH3,8545.298274116596,,7433.328206704846,True,975.0,2040
50,-119.0,44.0,1582.275013923645,139.06543,6634,-122.7035916567065,45.64459,345.2013347509789,541.0538,United States of America,USA,North America,North America,,,16363.129136212752,1.8099001049053096,2.1938800430936336,3.2543348129734393,,1.8099001049053096,NH3,8075.756572954761,,7433.328206704846,True,1658.0,2040
51,-119.0,46.0,1468.3949136734009,246.45811,3275,-122.42362220998923,47.27585,298.0098195187587,409.118,United States of America,USA,North America,North America,,,16697.113953234773,1.8104171873333843,2.194567831741754,3.2596020325714568,,1.8104171873333843,NH3,7888.998906664708,,7433.328206704846,True,2268.0,2040
52,-119.0,47.0,1514.0199136734009,170.87091,4933,-122.2207911642127,47.998295,266.81902782177514,352.8457,United States of America,USA,North America,North America,,,16653.24965596402,1.810349807489143,2.1944782889974777,3.258913041188787,,1.810349807489143,NH3,7795.890416058145,,7433.328206704846,True,1982.0,2040
